,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
3868,Kidz Bop Kids,Shallow,4YTrXspnFsoKPIbK86Inhz,38,1,11,5,0.579,0.374,7,-7.774,1,0.0309,0.251,0.0,0.165,0.359,95.955,209347,4,7,13
3869,Chris Brown,Back To Love,2HDqP1ao45k1t7mPe7lo4C,63,1,6,5,0.73,0.922,5,-3.382,0,0.0611,0.0936,0.0,0.165,0.511,122.927,220480,4,12,11
3870,Céline Dion,The Chase,6wCNqhSkqWgnON5pAyWRMM,58,1,11,5,0.585,0.495,7,-7.24,1,0.0458,0.298,0.0,0.106,0.289,90.069,229907,4,9,11
3871,Upchurch,Some Days,5UW6kmsyuL4C7A3DrXYg0M,58,1,9,2,0.732,0.673,0,-5.89,0,0.0522,0.275,0.0,0.418,0.494,140.187,182724,4,9,8
3872,Ally Brooke,Low Key (feat. Tyga),7xhvCzIguRfyfQyGrnWuVn,64,2,1,4,0.79,0.546,6,-5.553,0,0.0383,0.369,2.55e-06,0.128,0.748,109.014,201385,4,20,11
3873,Migos,Stripper Bowl,7mv4eldXEFbf3s3ZEfbmlC,63,1,6,4,0.953,0.782,1,-4.443,1,0.214,0.0507,0.0,0.0785,0.823,132.959,202747,4,13,5
3874,mell-ø,Waiting for You,1eN0D2pAR1hou4iEuXQkYQ,61,1,2,5,0.74,0.133,8,-16.642,0,0.0633,0.828,0.957,0.131,0.113,73.982,94865,4,15,6
3875,UMI,Runnin',10x9aHDFGk5aSbvAVlwJA3,60,2,10,3,0.742,0.675,8,-11.219,1,0.0486,0.59,0.403,0.111,0.668,116.963,189773,4,7,3
3876,Kidz Bop Kids,Mi Gente,2KtrPdCrJJ7uJc6GNWDVjy,37,1,11,5,0.801,0.752,10,-5.394,1,0.0421,0.0124,4.5e-06,0.157,0.675,104.961,187000,4,8,13
3877,Josh A,Save Me,7eCiNq2CqqkRZKF3vd5nGz,52,1,11,6,0.687,0.525,5,-8.468,0,0.0738,0.142,4.31e-05,0.117,0.389,77.02,181168,4,7,6
3878,Reik,Noche de Paz - Recorded at Electric Lady Studios NYC - Spotify Studios NYC,6lxZad9QvvupcZmt0BwKPJ,53,1,11,5,0.47,0.221,2,-12.411,1,0.0316,0.962,9.04e-05,0.0952,0.139,103.79,124989,3,74,4
3879,Gucci Mane,Backwards (feat. Meek Mill),4Aw3DJWMTGXVgAdAzAAI02,61,2,6,5,0.95,0.508,8,-5.176,1,0.0921,0.0092,0.0,0.0946,0.438,122.963,177699,4,27,10
3880,Kidz Bop Kids,MIA,2zvUbHRNbt7pcmf7zZH6X8,37,1,11,5,0.756,0.72,4,-5.432,0,0.0467,0.0258,0.0,0.123,0.301,97.014,191507,4,3,13
3881,Jennifer Lopez,Baila Conmigo,0mD63phUwHYnlvAJn8NgqC,71,1,10,5,0.795,0.758,7,-6.032,0,0.0556,0.0365,0.0014,0.0706,0.593,128.005,163998,4,13,14
3882,Dave East,They Wanna Kill You,7beAl1cs3Zedn1qthUXBtG,60,2,11,5,0.632,0.89,6,-3.911,0,0.322,0.155,0.0,0.946,0.824,95.403,154667,4,19,9
3883,Mitchell Tenpenny,Just to See You Smile - Amazon Original,0KCLvp7viHNA3UsJyV0O6W,59,1,4,5,0.544,0.729,7,-4.597,1,0.0298,0.0662,7.47e-06,0.104,0.335,156.049,269525,4,39,17
3884,PENTAGON,Humph!,0m3W71Oliiv3gQWXi2YAmJ,68,1,7,3,0.791,0.674,2,-4.025,1,0.0516,0.168,0.0,0.0801,0.963,132.985,192613,4,6,8
3885,Yelawolf,Box Chevy 7,2yNlrEVVEnvTAWcsIKggUW,61,1,11,5,0.8,0.568,9,-5.812,0,0.0387,0.0213,0.0203,0.253,0.159,120.008,244049,4,11,8
3886,Alfredo Olivas,El Sillón,4ORwLXI423yg5dSq8bHBH2,66,1,9,5,0.77,0.601,2,-4.246,0,0.034,0.182,2.93e-05,0.191,0.902,115.025,199707,4,9,14
3887,Steven Mudd,Childhood,73VpGHucDuzwtFJiT59bEG,64,1,8,5,0.589,0.127,6,-19.876,1,0.0366,0.993,0.941,0.0924,0.351,155.043,163273,3,9,11
3888,SAINt JHN,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,62,2,8,5,0.683,0.779,2,-6.512,1,0.0609,0.0224,0.0,0.368,0.198,138.018,186210,4,37,9
3889,Kidz Bop Kids,"Thank U, Next - US Version",4R1LY0jQmulagc1JvpiXsO,37,1,11,5,0.731,0.789,1,-7.189,1,0.225,0.706,0.0,0.358,0.619,107.009,202333,4,26,13
3890,Natanael Cano,Buenos Ratos,6M5NgWwRMEFLt4bx457TTy,61,2,10,4,0.555,0.697,9,-5.994,0,0.181,0.488,0.0,0.0762,0.7,139.855,141879,4,12,13
3891,Céline Dion,Perfect Goodbye,5rQMVyqdiSmkYEAjLABYgl,57,1,11,5,0.546,0.33,2,-6.357,0,0.0329,0.853,0.0,0.0944,0.0854,131.953,208480,4,15,11
3892,Kidz Bop Kids,Nothing Breaks Like A Heart - US Version,5TqfQ5U7SumwYrIMERVniU,37,1,11,5,0.638,0.809,7,-6.363,1,0.0543,0.0791,0.0,0.261,0.491,114.077,205427,4,40,13
3893,Kidz Bop Kids,Electricity,4KjANrFBKn4gDa3xzkOs8P,37,1,11,5,0.61,0.756,0,-5.994,1,0.0576,0.0165,0.0,0.32,0.623,118.076,224040,4,11,13
3894,WILLOW,Overthinking IT,2QXvhG5wkzZthF2OTMIaNz,60,1,7,5,0.369,0.665,0,-6.19,0,0.0695,0.0148,0.0131,0.37,0.323,95.885,327267,5,15,6
3895,Louis Tomlinson,Kill My Mind,44zoniDjX4tfoAeYrnA5XX,69,1,9,4,0.515,0.873,10,-3.062,1,0.0389,0.00104,0.0,0.104,0.434,134.042,220930,4,12,15
3896,Blac Youngsta,Cut Up,5wxP48hyJlNAMASN0bqZnu,59,1,5,5,0.839,0.578,11,-5.957,1,0.0727,0.000404,0.000132,0.121,0.581,164.091,157380,4,6,13
3897,Johann Sebastian Bach,"Partita for Violin Solo No. 1 in B Minor, BWV 1002: 7. Tempo di Borea",73P719t0bQcmqIQHOaDVXJ,36,2,11,5,0.513,0.116,10,-18.918,0,0.051,0.992,0.74,0.111,0.491,92.586,174920,4,69,21
3898,Jack & Jack,2 Cigarettes,7sOwVYliBTmB30E37tqces,63,1,1,5,0.759,0.678,9,-8.066,0,0.0618,0.271,0.0,0.103,0.238,111.974,229827,4,12,11
3899,Dave East,OG,1dpVk7HdceRffFf7kpAXEU,60,3,11,5,0.649,0.676,4,-8.125,0,0.339,0.0143,0.0,0.377,0.317,82.344,221667,4,2,9
