,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
1797,10k.Caash,Aloha,0wc23hbQfO6pHyc600wFJq,65,2,5,5,25651,59,0.861,0.22,1,-13.626,1,0.745,0.416,0.0,0.15,0.551,129.817,87693,4,5,9
1798,Dalex,Vuelva A Ver - Remix,0GrGfs8ldZRWOrksG5uraH,73,5,5,5,627612,90,0.704,0.592,9,-5.368,1,0.194,0.644,0.0,0.802,0.386,159.872,267110,4,20,5
1799,Future,Undefeated (feat. Lil Keed),6FZjiSBSQoj1geAgXjvqez,65,2,7,2,8145758,89,0.855,0.561,2,-5.105,1,0.277,0.00135,0.0,0.187,0.408,157.016,156467,4,27,6
1800,Gigolo Y La Exce,Rasta Barbie (Remix),64kNRze29YqCFzFEpQCaHQ,77,5,10,3,175529,71,0.829,0.676,7,-5.129,1,0.314,0.0417,0.0,0.275,0.646,90.879,288470,4,20,16
1801,Stereo Outdoor Sampling,Quiet Rain in River,2dz9Mx1pZKF2OLAPCr3AcC,68,1,10,4,16,56,0.166,0.00133,0,-23.291,0,0.215,0.125,0.846,0.233,0.0218,119.669,120083,4,19,23
1802,SAINt JHN,Roses - Imanbek Remix,7fPuWrlpwDcHm5aHCH5D9t,62,2,9,5,194562,77,0.784,0.721,8,-5.457,1,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219,4,21,9
1803,Tyga,Girls Have Fun (feat. G-Eazy & Rich The Kid),1NHlyKgtR4roNylOhidKSv,71,3,1,3,5207923,91,0.888,0.74,8,-5.363,1,0.238,0.00586,0.0,0.218,0.664,100.003,175711,4,44,4
1804,Eric Bellinger,Type a Way (feat. Chris Brown & OG Parker),3wtbl8uMml7VgxaDEvGCJ7,68,3,2,5,511690,72,0.777,0.545,6,-5.009,1,0.0686,0.0429,0.0,0.0751,0.68,75.01,181102,4,42,14
1805,Major Lazer,Que Calor (with J Balvin) - Saweetie Remix,6NGMR3gNznUzW89VKTfETt,56,4,11,5,5797933,86,0.789,0.886,8,-5.063,1,0.0646,0.0159,0.000607,0.277,0.518,126.02,152567,4,42,11
1806,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",2p37Mfy2PWajgOS3i2aaep,68,3,6,3,559218,77,0.926,0.68,2,-7.689,1,0.196,0.0471,0.000125,0.119,0.458,114.981,201240,4,45,8
1807,Pink Sweat$,I Wanna Be Yours,7fF6u8BlXiA3bJKDuJMKRR,69,2,10,4,196182,74,0.751,0.781,8,-7.129,1,0.0738,0.0172,0.0,0.315,0.505,140.013,192858,4,16,11
1808,Tyler Childers,Country Squire,1bp2PcwZgR9LwBdoERsOuJ,63,1,8,5,285177,74,0.508,0.725,9,-7.203,1,0.0398,0.524,2.65e-05,0.479,0.916,166.872,201427,4,14,14
1809,TINI,Oye,09nSCeCs6eYfAIJVfye1CE,84,2,10,5,749762,81,0.683,0.51,7,-7.894,0,0.0646,0.447,0.0,0.175,0.255,95.08,173021,4,3,4
1810,Lizzo,Heaven Help Me,7oJf7PeBwMP7iFwyqfTfXa,66,1,5,5,1537538,88,0.67,0.725,0,-6.373,1,0.0972,0.0164,0.0,0.353,0.161,117.194,202321,4,14,5
1811,Fleetwood Mac,Madison Blues (Version 1) [Live] [Remastered],2CpsUNxIeiC5lYCbk216X7,39,1,11,5,3887175,83,0.579,0.802,4,-5.308,1,0.101,0.468,0.0209,0.971,0.754,123.385,274439,4,45,13
