,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
5284,1,1,8,5,1135448,69,0.6779999999999999,0.752,1,-4.497,0,0.0626,0.106,1.88e-06,0.1,0.588,102.029,4,13,16,201.347
5285,0,2,2,5,1462853,82,0.92,0.6829999999999999,10,-4.997,0,0.228,0.0369,0.0,0.111,0.716,104.079,4,25,8,202.975
5286,1,2,6,5,9943821,93,0.474,0.66,5,-5.388999999999999,0,0.153,0.0903,0.0,0.302,0.261,84.777,4,26,11,169.413
5287,0,2,6,5,478,61,0.687,0.632,6,-5.597,1,0.0888,0.39,0.0,0.193,0.655,97.97200000000001,4,9,14,191.64600000000002
5288,1,1,5,4,8333578,86,0.767,0.7090000000000001,1,-4.47,1,0.336,0.32299999999999995,0.0,0.0745,0.72,171.993,4,10,12,256.972
5289,0,1,8,5,1271037,80,0.703,0.813,5,-5.002,0,0.114,0.0395,0.0,0.11199999999999999,0.43200000000000005,153.942,4,24,8,186.116
5290,0,2,11,5,245344,68,0.851,0.679,2,-6.317,0,0.243,0.129,0.0,0.091,0.504,119.916,4,32,11,225.293
5291,0,1,10,5,27375,64,0.84,0.368,8,-12.755,1,0.84,0.35100000000000003,0.0,0.11,0.449,80.976,4,11,21,142.28900000000002
5292,1,2,8,5,5207923,91,0.885,0.5429999999999999,2,-6.337999999999999,1,0.2,0.0311,0.0,0.154,0.43,99.02600000000001,4,3,4,195.992
5293,0,1,9,5,205921,69,0.846,0.8170000000000001,7,-7.896,1,0.28,0.0605,0.0,0.136,0.46799999999999997,106.945,4,10,3,197.386
5294,1,2,4,5,768738,89,0.7809999999999999,0.584,1,-6.016,1,0.0684,0.135,0.000826,0.0784,0.45899999999999996,175.99599999999998,4,7,6,198.875
5295,1,1,10,5,525152,65,0.591,0.735,10,-4.208,1,0.0406,0.00528,0.0,0.11199999999999999,0.632,143.09799999999998,4,5,10,180.986
5296,0,3,11,5,58386,76,0.318,0.975,1,-22.399,1,0.0589,0.19899999999999998,0.9790000000000001,0.387,0.0272,79.592,4,19,11,170.0
5297,0,3,11,5,58386,76,0.33299999999999996,0.9590000000000001,1,-22.759,1,0.0608,0.242,0.956,0.42200000000000004,0.0289,83.889,4,22,11,154.0
5298,0,1,3,5,5047176,85,0.79,0.7929999999999999,7,-4.138,1,0.2,0.23800000000000002,2.14e-06,0.305,0.584,85.006,4,16,8,161.653
