,popularity,num_artists,release_month,release_weekday,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_len,artist_len,duration
7382,1,2,11,5,2942677,1,0.542,0.248,5,-18.815,1,0.0912,0.924,0.841,0.12,0.741,172.935,4,53,20,3.45445
7383,1,3,11,5,2942677,1,0.226,0.665,2,-11.168,1,0.0432,0.879,0.00942,0.5770000000000001,0.39799999999999996,96.31299999999999,4,68,20,1.2128833333333333
7384,1,3,11,5,2942677,1,0.494,0.0531,10,-22.129,1,0.0321,0.988,0.402,0.16,0.317,81.654,4,66,20,1.2055333333333333
7385,1,3,11,5,2942677,1,0.366,0.298,2,-16.283,1,0.0446,0.971,0.71,0.0808,0.379,152.96200000000002,4,62,20,6.169116666666667
7386,1,2,11,5,2942677,1,0.302,0.10400000000000001,9,-16.987000000000002,0,0.0433,0.971,0.759,0.10300000000000001,0.129,118.90899999999999,4,93,20,9.681766666666668
7387,1,2,11,5,2942677,1,0.524,0.115,10,-17.469,1,0.044000000000000004,0.94,0.46,0.124,0.622,130.298,4,67,20,9.918666666666667
7388,1,3,11,5,2942677,1,0.32299999999999995,0.151,5,-18.292,1,0.0401,0.97,0.8140000000000001,0.20199999999999999,0.248,151.407,4,59,20,9.823333333333332
7389,1,3,11,5,2942677,1,0.34299999999999997,0.19,9,-17.843,1,0.0587,0.9640000000000001,0.0,0.0909,0.29600000000000004,93.46,4,72,20,2.284883333333333
7390,1,2,11,5,2942677,1,0.23199999999999998,0.111,7,-19.028,1,0.0622,0.905,0.636,0.155,0.401,79.07300000000001,3,85,20,3.661783333333333
7391,1,3,11,5,2942677,1,0.484,0.51,5,-15.107000000000001,1,0.0471,0.637,0.0644,0.322,0.21,113.825,4,41,20,0.5833166666666667
7392,1,4,11,5,2942677,1,0.281,0.0267,11,-29.820999999999998,1,0.0352,0.988,0.9520000000000001,0.12300000000000001,0.0462,89.37899999999999,4,77,20,8.5
7393,1,4,11,5,2942677,1,0.757,0.0635,0,-18.738,1,0.115,0.902,0.28600000000000003,0.0876,0.366,128.815,3,34,20,2.370433333333333
7394,1,2,11,5,2942677,1,0.428,0.0834,4,-17.598,1,0.0514,0.978,0.07,0.10400000000000001,0.5589999999999999,119.15100000000001,4,94,20,2.2637666666666667
7395,1,3,11,5,2942677,1,0.649,0.243,9,-17.816,1,0.0401,0.9690000000000001,0.805,0.105,0.509,111.84200000000001,4,41,20,0.5973166666666666
7396,1,2,11,5,2942677,1,0.45299999999999996,0.16899999999999998,10,-17.95,0,0.0557,0.9279999999999999,0.0468,0.0975,0.7609999999999999,160.257,4,58,20,2.0673333333333335
7397,1,4,11,5,2942677,1,0.27699999999999997,0.115,4,-21.965,1,0.0604,0.9390000000000001,0.0008820000000000001,0.361,0.0555,88.25399999999999,4,40,20,2.5817833333333335
7398,1,4,11,5,2942677,1,0.43799999999999994,0.0947,6,-20.901999999999997,1,0.0595,0.973,0.0,0.0905,0.376,136.336,3,43,20,3.119333333333333
7399,1,3,11,5,2942677,1,0.193,0.331,10,-14.853,1,0.043,0.903,0.0247,0.105,0.145,83.946,4,66,20,6.798216666666667
7400,1,2,11,5,2942677,1,0.33299999999999996,0.00292,8,-35.762,1,0.0508,0.9940000000000001,0.9109999999999999,0.07400000000000001,0.0954,70.561,4,70,20,7.027783333333334
7401,1,3,11,5,2942677,1,0.321,0.163,9,-17.559,1,0.046,0.982,0.25,0.0682,0.359,140.278,4,76,20,7.919333333333333
